,bias,neg,pos,tgt
0,1,144,163,1
1,1,120,407,1
2,1,126,254,1
3,1,148,431,1
4,1,225,198,1
5,1,161,620,1
6,1,233,599,1
7,1,237,331,1
8,1,209,345,1
9,1,113,116,1
10,1,195,271,1
11,1,636,556,1
12,1,186,233,1
13,1,56,155,1
14,1,200,331,1
15,1,66,50,0
16,1,129,20,0
17,1,151,33,0
18,1,57,82,0
19,1,1,0,0
20,1,4,1,0
21,1,31,15,0
22,1,124,19,0
23,1,126,53,0
24,1,1,0,0
25,1,108,48,0
26,1,95,50,0
27,1,129,18,0
28,1,1,0,0
29,1,307,102,0
30,1,39,23,0
31,1,49,27,1
32,1,160,92,0
33,1,147,249,1
34,1,64,47,0
35,1,242,128,0
36,1,316,139,0
37,1,56,91,1
38,1,221,369,1
39,1,32,15,0
40,1,47,10,0
41,1,83,107,0
42,1,431,304,0
43,1,19,16,0
44,1,159,75,0
45,1,234,110,0
46,1,145,332,1
47,1,171,186,0
48,1,47,10,0
49,1,631,384,0
50,1,161,240,1
51,1,415,310,1
52,1,130,180,0
53,1,136,198,1
54,1,164,156,0
55,1,89,141,1
56,1,81,85,1
57,1,517,243,0
58,1,219,140,0
59,1,157,346,1
60,1,169,104,0
61,1,192,121,0
62,1,282,169,0
63,1,186,454,1
64,1,266,152,0
65,1,147,313,1
66,1,539,261,0
67,1,424,271,0
68,1,131,162,1
69,1,199,225,1
70,1,482,306,0
71,1,198,316,0
72,1,172,339,1
73,1,70,155,1
74,1,71,253,1
75,1,100,166,0
76,1,93,116,0
77,1,48,139,1
78,1,61,223,1
79,1,42,99,1
80,1,377,319,0
81,1,487,338,1
82,1,217,162,0
83,1,127,146,1
84,1,111,156,1
85,1,212,355,1
86,1,78,191,1
87,1,302,388,1
88,1,416,366,1
89,1,75,174,1
90,1,25,74,0
91,1,94,222,1
92,1,111,245,1
93,1,83,221,1
94,1,25,80,1
95,1,129,230,1
96,1,511,317,0
97,1,172,284,1
98,1,26,74,0
99,1,472,343,1
100,1,151,453,1
101,1,258,250,0
102,1,99,85,0
103,1,424,222,0
104,1,96,5,0
105,1,26,11,0
106,1,96,5,0
107,1,72,51,0
108,1,532,292,0
109,1,28,12,0
110,1,192,85,0
111,1,325,116,0
112,1,122,38,0
113,1,18,1,0
114,1,96,5,0
115,1,96,5,0
116,1,96,5,0
117,1,130,77,0
118,1,96,5,0
119,1,96,5,0
120,1,268,166,0
121,1,110,51,0
122,1,458,206,0
123,1,123,18,0
124,1,250,91,0
125,1,174,65,0
126,1,185,80,0
127,1,379,131,0
128,1,617,271,0
129,1,224,120,0
130,1,130,18,0
131,1,18,1,0
132,1,592,227,0
133,1,209,198,0
134,1,662,346,0
135,1,292,148,0
136,1,131,533,1
137,1,47,141,1
138,1,75,155,0
139,1,73,394,1
140,1,274,213,1
141,1,150,364,1
142,1,222,290,1
143,1,152,227,1
144,1,140,418,1
145,1,152,228,1
146,1,78,403,1
147,1,83,419,1
148,1,94,397,1
149,1,171,158,0
150,1,289,409,0
151,1,74,394,1
152,1,100,225,1
153,1,152,227,1
154,1,152,227,1
155,1,165,432,1
156,1,367,744,1
157,1,31,113,1
158,1,77,382,1
159,1,73,394,1
160,1,230,255,1
161,1,425,464,1
162,1,163,237,1
163,1,91,149,1
164,1,83,419,1
165,1,30,107,1
166,1,525,365,0
167,1,323,426,0
168,1,238,418,1
169,1,38,132,1
170,1,192,357,1
171,1,453,318,1
172,1,142,434,1
173,1,186,426,1
174,1,142,457,1
175,1,350,215,0
176,1,154,147,1
177,1,142,434,1
178,1,88,49,0
179,1,280,120,0
180,1,64,76,1
181,1,302,143,0
182,1,204,579,1
183,1,142,434,1
184,1,46,35,0
185,1,177,96,0
186,1,88,49,0
187,1,102,387,1
188,1,218,157,0
189,1,95,65,0
190,1,142,434,1
191,1,142,434,1
192,1,88,49,0
193,1,88,49,0
194,1,289,251,0
195,1,293,144,1
196,1,142,454,1
197,1,142,434,1
198,1,85,59,0
199,1,120,56,0
200,1,127,98,0
201,1,142,434,1
202,1,142,434,1
203,1,143,445,1
204,1,143,445,1
205,1,277,212,0
206,1,153,114,0
207,1,142,434,1
208,1,225,172,0
209,1,191,80,0
210,1,62,20,0
211,1,50,20,0
212,1,82,37,0
213,1,182,101,0
214,1,34,19,1
215,1,64,43,0
216,1,94,68,0
217,1,345,137,0
218,1,241,408,1
219,1,50,35,0
220,1,241,408,1
221,1,72,48,0
222,1,236,94,0
223,1,399,231,0
224,1,327,176,1
225,1,293,331,1
226,1,645,299,0
227,1,36,29,1
228,1,94,68,0
229,1,309,126,1
230,1,423,275,1
231,1,70,80,0
232,1,281,122,0
233,1,299,153,0
234,1,62,86,1
235,1,178,101,0
236,1,253,148,0
237,1,265,189,0
238,1,241,408,1
239,1,87,75,1
240,1,294,177,0
241,1,425,164,0
242,1,57,25,0
243,1,113,66,1
244,1,157,120,0
245,1,39,22,0
246,1,419,441,0
247,1,35,20,1
248,1,220,200,0
249,1,132,142,1
250,1,419,441,0
251,1,419,441,1
252,1,165,156,0
253,1,419,441,1
254,1,367,209,0
255,1,21,4,0
256,1,50,75,1
257,1,819,537,1
258,1,83,56,0
259,1,419,441,0
260,1,756,396,0
261,1,819,537,0
262,1,819,537,0
263,1,154,117,0
264,1,224,231,1
265,1,125,76,0
266,1,419,441,0
267,1,355,275,0
268,1,195,108,0
269,1,220,200,1
270,1,419,441,0
271,1,419,441,1
272,1,370,149,0
273,1,221,131,1
274,1,77,43,0
275,1,215,173,0
276,1,73,36,0
277,1,155,193,1
278,1,569,207,0
279,1,352,179,0
280,1,71,16,0
281,1,185,126,1
282,1,69,25,0
283,1,115,63,0
284,1,393,212,0
285,1,285,144,1
286,1,258,129,0
287,1,299,137,0
288,1,797,389,0
289,1,41,13,0
290,1,626,257,1
291,1,247,92,0
292,1,756,334,0
293,1,168,58,0
294,1,298,358,1
295,1,445,296,0
296,1,444,176,0
297,1,271,197,0
298,1,311,128,0
299,1,89,160,1
300,1,40,20,1
301,1,200,92,1
302,1,452,356,0
303,1,751,349,0
304,1,85,195,0
305,1,85,195,0
